Agent info:
	Batch size: 64
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Replay: 002
	Success Margin: -150
	Action Type: Simple Action

Episode: 1/400, rounds: 68, epsilon: 1.0, score: -123.8, reward: -100, elapsed time: 0:00:00
Episode: 2/400, rounds: 53, epsilon: 0.99, score: -164.8, reward: -100, elapsed time: 0:00:02
Episode: 3/400, rounds: 59, epsilon: 0.9801, score: -409.0, reward: -100, elapsed time: 0:00:03
Episode: 4/400, rounds: 85, epsilon: 0.9703, score: -604.5, reward: -100, elapsed time: 0:00:06
Episode: 5/400, rounds: 65, epsilon: 0.9606, score: -423.5, reward: -100, elapsed time: 0:00:08
Episode: 6/400, rounds: 61, epsilon: 0.951, score: -37.37, reward: -100, elapsed time: 0:00:10
Episode: 7/400, rounds: 76, epsilon: 0.9415, score: -164.3, reward: -100, elapsed time: 0:00:12
Episode: 8/400, rounds: 126, epsilon: 0.9321, score: -391.6, reward: -100, elapsed time: 0:00:16
Episode: 9/400, rounds: 111, epsilon: 0.9227, score: -242.4, reward: -100, elapsed time: 0:00:19
Episode: 10/400, rounds: 493, epsilon: 0.9135, score: -77.0, reward: -100, elapsed time: 0:00:31
Episode: 11/400, rounds: 78, epsilon: 0.9044, score: -513.1, reward: -100, elapsed time: 0:00:34
Episode: 12/400, rounds: 203, epsilon: 0.8953, score: -250.3, reward: -100, elapsed time: 0:00:39
Episode: 13/400, rounds: 315, epsilon: 0.8864, score: -339.3, reward: -100, elapsed time: 0:00:47
Episode: 14/400, rounds: 216, epsilon: 0.8775, score: -240.9, reward: -100, elapsed time: 0:00:53
Episode: 15/400, rounds: 207, epsilon: 0.8687, score: -235.8, reward: -100, elapsed time: 0:00:58
Episode: 16/400, rounds: 213, epsilon: 0.8601, score: -627.2, reward: -100, elapsed time: 0:01:04
Episode: 17/400, rounds: 73, epsilon: 0.8515, score: -349.1, reward: -100, elapsed time: 0:01:07
Episode: 18/400, rounds: 203, epsilon: 0.8429, score: -71.76, reward: -100, elapsed time: 0:01:12
Episode: 19/400, rounds: 115, epsilon: 0.8345, score: -237.5, reward: -100, elapsed time: 0:01:16
Episode: 20/400, rounds: 216, epsilon: 0.8262, score: -292.5, reward: -100, elapsed time: 0:01:22
Episode: 21/400, rounds: 236, epsilon: 0.8179, score: -284.9, reward: -100, elapsed time: 0:01:28
Episode: 22/400, rounds: 119, epsilon: 0.8097, score: -39.72, reward: -100, elapsed time: 0:01:32
Episode: 23/400, rounds: 479, epsilon: 0.8016, score: -231.7, reward: -100, elapsed time: 0:01:45
Episode: 24/400, rounds: 288, epsilon: 0.7936, score: -20.12, reward: -100, elapsed time: 0:01:53
Episode: 25/400, rounds: 754, epsilon: 0.7857, score: -262.1, reward: -100, elapsed time: 0:02:13
Episode: 26/400, rounds: 73, epsilon: 0.7778, score: -91.33, reward: -100, elapsed time: 0:02:15
Episode: 27/400, rounds: 924, epsilon: 0.77, score: -312.3, reward: -100, elapsed time: 0:02:40
Episode: 28/400, rounds: 189, epsilon: 0.7623, score: -0.7034, reward: -100, elapsed time: 0:02:45
Episode: 29/400, rounds: 179, epsilon: 0.7547, score: -179.5, reward: -100, elapsed time: 0:02:50
Episode: 30/400, rounds: 392, epsilon: 0.7472, score: -73.23, reward: -100, elapsed time: 0:03:01
Episode: 31/400, rounds: 999, epsilon: 0.7397, score: -42.14, reward: 2.711646468167314, elapsed time: 0:03:28
Episode: 32/400, rounds: 564, epsilon: 0.7323, score: -94.52, reward: -100, elapsed time: 0:03:43
Episode: 33/400, rounds: 955, epsilon: 0.725, score: 55.52, reward: 100, elapsed time: 0:04:09
Episode: 34/400, rounds: 504, epsilon: 0.7177, score: -185.6, reward: -100, elapsed time: 0:04:23
Episode: 35/400, rounds: 999, epsilon: 0.7106, score: -12.93, reward: 1.3104221213644074, elapsed time: 0:04:51
Episode: 36/400, rounds: 538, epsilon: 0.7034, score: -148.0, reward: -100, elapsed time: 0:05:06
Episode: 37/400, rounds: 999, epsilon: 0.6964, score: 45.85, reward: 0.8925154786247529, elapsed time: 0:05:34
Episode: 38/400, rounds: 230, epsilon: 0.6894, score: -181.7, reward: -100, elapsed time: 0:05:41
Episode: 39/400, rounds: 403, epsilon: 0.6826, score: -137.3, reward: -100, elapsed time: 0:05:52
Episode: 40/400, rounds: 711, epsilon: 0.6757, score: -55.16, reward: -100, elapsed time: 0:06:12
Episode: 41/400, rounds: 756, epsilon: 0.669, score: -75.67, reward: -100, elapsed time: 0:06:34
Episode: 42/400, rounds: 618, epsilon: 0.6623, score: 132.4, reward: 100, elapsed time: 0:06:51
Episode: 43/400, rounds: 269, epsilon: 0.6557, score: -175.9, reward: -100, elapsed time: 0:06:59
Episode: 44/400, rounds: 999, epsilon: 0.6491, score: 93.85, reward: -0.5953709134975316, elapsed time: 0:07:28
Episode: 45/400, rounds: 704, epsilon: 0.6426, score: -232.7, reward: -100, elapsed time: 0:07:48
Episode: 46/400, rounds: 999, epsilon: 0.6362, score: 3.172, reward: -0.5136458528984444, elapsed time: 0:08:18
Episode: 47/400, rounds: 999, epsilon: 0.6298, score: -20.33, reward: -0.09921086836235446, elapsed time: 0:08:46
Episode: 48/400, rounds: 693, epsilon: 0.6235, score: 121.6, reward: 100, elapsed time: 0:09:06
Episode: 49/400, rounds: 303, epsilon: 0.6173, score: -37.27, reward: -100, elapsed time: 0:09:15
Episode: 50/400, rounds: 999, epsilon: 0.6111, score: -7.312, reward: -0.9722596812938094, elapsed time: 0:09:45
Episode: 51/400, rounds: 893, epsilon: 0.605, score: 124.4, reward: 100, elapsed time: 0:10:12
Episode: 52/400, rounds: 999, epsilon: 0.599, score: 25.49, reward: -0.12587984858489307, elapsed time: 0:10:41
Episode: 53/400, rounds: 576, epsilon: 0.593, score: -210.3, reward: -100, elapsed time: 0:10:58
Episode: 54/400, rounds: 999, epsilon: 0.587, score: -90.33, reward: 1.1382850097076698, elapsed time: 0:11:28
Episode: 55/400, rounds: 999, epsilon: 0.5812, score: 61.74, reward: 0.028800776290809155, elapsed time: 0:11:58
Episode: 56/400, rounds: 899, epsilon: 0.5754, score: 124.6, reward: 100, elapsed time: 0:12:25
Episode: 57/400, rounds: 605, epsilon: 0.5696, score: -201.2, reward: -100, elapsed time: 0:12:44
Episode: 58/400, rounds: 841, epsilon: 0.5639, score: -284.8, reward: -100, elapsed time: 0:13:09
Episode: 59/400, rounds: 667, epsilon: 0.5583, score: -52.55, reward: -100, elapsed time: 0:13:30
Episode: 60/400, rounds: 999, epsilon: 0.5527, score: 24.11, reward: -0.007886195401975299, elapsed time: 0:14:00
Episode: 61/400, rounds: 481, epsilon: 0.5472, score: 149.7, reward: 100, elapsed time: 0:14:15
Episode: 62/400, rounds: 471, epsilon: 0.5417, score: -285.7, reward: -100, elapsed time: 0:14:29
Episode: 63/400, rounds: 999, epsilon: 0.5363, score: -56.42, reward: 0.656280785039898, elapsed time: 0:15:01
Episode: 64/400, rounds: 513, epsilon: 0.5309, score: -287.3, reward: -100, elapsed time: 0:15:16
Episode: 65/400, rounds: 771, epsilon: 0.5256, score: 207.8, reward: 100, elapsed time: 0:15:40
Episode: 66/400, rounds: 999, epsilon: 0.5203, score: -39.27, reward: 2.067800710268984, elapsed time: 0:16:12
Episode: 67/400, rounds: 499, epsilon: 0.5151, score: -161.9, reward: -100, elapsed time: 0:16:28
Episode: 68/400, rounds: 625, epsilon: 0.51, score: -204.1, reward: -100, elapsed time: 0:16:47
Episode: 69/400, rounds: 999, epsilon: 0.5049, score: -161.2, reward: -1.9593629912379231, elapsed time: 0:17:18
Episode: 70/400, rounds: 848, epsilon: 0.4998, score: -379.1, reward: -100, elapsed time: 0:17:45
Episode: 71/400, rounds: 999, epsilon: 0.4948, score: -77.49, reward: -2.5222138760042, elapsed time: 0:18:17
Episode: 72/400, rounds: 999, epsilon: 0.4899, score: 75.84, reward: 1.2281176584988114, elapsed time: 0:18:49
Episode: 73/400, rounds: 759, epsilon: 0.485, score: -246.1, reward: -100, elapsed time: 0:19:13
Episode: 74/400, rounds: 425, epsilon: 0.4801, score: -44.88, reward: -100, elapsed time: 0:19:26
Episode: 75/400, rounds: 999, epsilon: 0.4753, score: -29.93, reward: -2.6675924358301613, elapsed time: 0:19:59
Episode: 76/400, rounds: 718, epsilon: 0.4706, score: -246.8, reward: -100, elapsed time: 0:20:21
Episode: 77/400, rounds: 999, epsilon: 0.4659, score: -73.15, reward: -2.0878185143807455, elapsed time: 0:20:54
Episode: 78/400, rounds: 999, epsilon: 0.4612, score: 121.1, reward: -0.490016596666641, elapsed time: 0:21:26
Episode: 79/400, rounds: 999, epsilon: 0.4566, score: -29.26, reward: -3.117217092757244, elapsed time: 0:21:58
Episode: 80/400, rounds: 999, epsilon: 0.452, score: -49.15, reward: -1.4004705592035436, elapsed time: 0:22:31
Episode: 81/400, rounds: 999, epsilon: 0.4475, score: -30.82, reward: -1.564850173503159, elapsed time: 0:23:03
Episode: 82/400, rounds: 999, epsilon: 0.443, score: 19.12, reward: -2.071069549006949, elapsed time: 0:23:36
Episode: 83/400, rounds: 999, epsilon: 0.4386, score: -40.9, reward: 0.012236545083113698, elapsed time: 0:24:08
Episode: 84/400, rounds: 999, epsilon: 0.4342, score: -91.74, reward: -2.1973379634161163, elapsed time: 0:24:41
Episode: 85/400, rounds: 999, epsilon: 0.4299, score: -61.31, reward: -2.4619807237053903, elapsed time: 0:25:14
