Agent info:
	Batch size: 64
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 70/200, rounds: 199, score: -129.3, reward: -0.0567, elapsed time: 0:02:28
Episode: 71/200, rounds: 199, score: -130.1, reward: -0.03503, elapsed time: 0:02:30
Episode: 72/200, rounds: 199, score: -129.6, reward: -0.003988, elapsed time: 0:02:32
Episode: 73/200, rounds: 199, score: -3.352, reward: -0.01932, elapsed time: 0:02:34
Episode: 74/200, rounds: 199, score: -231.4, reward: -0.04798, elapsed time: 0:02:36
Episode: 75/200, rounds: 199, score: -1.545, reward: -0.0008599, elapsed time: 0:02:38
Episode: 76/200, rounds: 199, score: -387.8, reward: -0.06098, elapsed time: 0:02:40
Episode: 77/200, rounds: 199, score: -368.1, reward: -0.08766, elapsed time: 0:02:43
Episode: 78/200, rounds: 199, score: -262.8, reward: -0.06912, elapsed time: 0:02:46
Episode: 79/200, rounds: 199, score: -123.8, reward: -0.04822, elapsed time: 0:02:48
Episode: 80/200, rounds: 199, score: -5.161, reward: -0.1804, elapsed time: 0:02:50
Episode: 81/200, rounds: 199, score: -325.1, reward: -14.86, elapsed time: 0:02:52
Episode: 82/200, rounds: 199, score: -349.8, reward: -0.01833, elapsed time: 0:02:54
Episode: 83/200, rounds: 199, score: -127.9, reward: -0.04485, elapsed time: 0:02:56
Episode: 84/200, rounds: 199, score: -252.9, reward: -0.06056, elapsed time: 0:02:58
Episode: 85/200, rounds: 199, score: -129.7, reward: -0.02835, elapsed time: 0:02:59
Episode: 86/200, rounds: 199, score: -240.8, reward: -0.02954, elapsed time: 0:03:01
Episode: 87/200, rounds: 199, score: -124.3, reward: -0.0276, elapsed time: 0:03:03
Episode: 88/200, rounds: 199, score: -130.4, reward: -0.04296, elapsed time: 0:03:05
Episode: 89/200, rounds: 199, score: -130.1, reward: -0.02474, elapsed time: 0:03:07
Episode: 90/200, rounds: 199, score: -330.2, reward: -0.01603, elapsed time: 0:03:09
Episode: 91/200, rounds: 199, score: -121.6, reward: -0.05592, elapsed time: 0:03:11
Episode: 92/200, rounds: 199, score: -788.1, reward: -16.06, elapsed time: 0:03:13
Episode: 93/200, rounds: 199, score: -619.9, reward: -0.01745, elapsed time: 0:03:15
Episode: 94/200, rounds: 199, score: -486.2, reward: -0.03389, elapsed time: 0:03:17
Episode: 95/200, rounds: 199, score: -1.134, reward: -0.002583, elapsed time: 0:03:19
Episode: 96/200, rounds: 199, score: -244.8, reward: -0.032, elapsed time: 0:03:21
Episode: 97/200, rounds: 199, score: -246.6, reward: -0.05781, elapsed time: 0:03:23
Episode: 98/200, rounds: 199, score: -5.069, reward: -0.01186, elapsed time: 0:03:25
Episode: 99/200, rounds: 199, score: -124.2, reward: -0.009916, elapsed time: 0:03:27
Episode: 100/200, rounds: 199, score: -128.2, reward: -0.02834, elapsed time: 0:03:29
Episode: 101/200, rounds: 199, score: -9.852, reward: -0.04421, elapsed time: 0:03:31
Episode: 102/200, rounds: 199, score: -126.0, reward: -0.02864, elapsed time: 0:03:33
Episode: 103/200, rounds: 199, score: -123.0, reward: -0.0258, elapsed time: 0:03:34
Episode: 104/200, rounds: 199, score: -128.8, reward: -0.03667, elapsed time: 0:03:36
